SN,A_Indep_Front,A_RollSpeed_Front,A_R2R2W_Front,KM_Front,KM_DEV_Front,A_Indep_Rear,A_RollSpeed_Rear,A_R2R2W_Rear,KM_Rear,KM_DEV_Rear,TR_PWM_SLOP_FRONT,TR_PWM_OFFSET_FRONT,R2_Front,TR_AccuENC_RATIO_FRONT,TR_PWM_SLOP_REAR,TR_PWM_OFFSET_REAR,R2_Rear,TR_AccuENC_RATIO_REAR,status
DRW401710011,0.50662,0.001123,84.509004,0.04136,0.074459,0.399587,0.000884,110.115063,0.04217,0.027462,1.342325,-36.814429,0.9999819999999999,9.076137,1.356168,-42.075722,0.999973,9.17734,P
DRW401710021,0.332461,0.0009429999999999999,96.513823,0.041665,0.030113,0.375885,0.000817,88.436132,0.041531,0.033823,1.34514,-31.631947999999998,1.0,9.076387,1.363679,-38.212322,1.0,9.17729,P
DRW401710031,0.306719,0.000935,108.466596,0.041677,0.035519,0.314688,0.001029,83.073142,0.041116,0.038307,1.329123,-32.552093,0.999999,9.076137,1.345006,-43.044265,0.999951,9.178916,P
DRW401710041,0.46371,0.000834,80.84498,0.041683,0.038176,0.433642,0.000826,66.223034,0.042103,0.036132,1.3545049999999998,-33.505937,1.0,9.076407,1.3650209999999998,-38.89327,0.999986,9.179542,P
DRW401710061,0.368679,0.000977,78.254152,0.041815,0.05843300000000001,0.413527,0.00072,75.230046,0.04103,0.030524000000000006,1.355164,-30.132649,0.999984,9.075402,1.356186,-37.622899,0.999996,9.173561,P
DRW401710071,0.429005,0.000666,104.728758,0.041741,0.014768,0.414482,0.0008619999999999999,87.164144,0.041401,0.045193,1.363911,-32.46281,0.99998,9.067476,1.355584,-43.192414,0.999977,9.176012,P
DRW401710081,0.410257,0.000891,69.663622,0.041159,0.047376,0.345318,0.0008230000000000001,89.17627399999998,0.041176,0.057576,1.354845,-27.665207000000002,0.9999680000000001,9.069782,1.342174,-37.190625,0.999987,9.175927,P
DRW401710091,0.410897,0.0008960000000000001,84.51706999999999,0.04156,0.013687,0.330952,0.001007,92.081812,0.041617,0.030775,1.353731,-33.473356,0.9999709999999999,9.075402,1.365916,-40.26811,0.999999,9.175735,P
DRW401710101,0.36254000000000003,0.000909,86.65937199999999,0.041487,0.015065,0.5373829999999999,0.000947,71.099041,0.041244,0.055801,1.349844,-26.083935999999998,0.9999899999999999,9.074687,1.367892,-38.5811,0.999981,9.178455,P
DRW401710111,0.442308,0.000849,123.918191,0.041403,0.035337,0.536695,0.0008029999999999999,103.201289,0.042028,0.036459,1.3546129999999998,-34.787116999999995,0.999999,9.076532,1.357903,-39.84204,0.999983,9.175405,P
DRW401710121,0.281911,0.0009,114.64796399999999,0.04132,0.019062,0.435777,0.000989,109.162537,0.041749,0.043242,1.340502,-39.855638,0.9999969999999999,9.076491,1.358722,-41.240087,0.999988,9.177433,P
DRW401710131,0.5000899999999999,0.000851,101.66940100000001,0.042118,0.025532,0.392565,0.000735,136.041026,0.041883,0.033748,1.342268,-41.042183,0.9999870000000001,9.075347,1.358694,-36.622053,0.999977,9.177069,P
DRW401710141,0.373673,0.0008349999999999999,124.946964,0.041668,0.0013039999999999998,0.361163,0.0008029999999999999,108.335872,0.04152,0.036576,1.336695,-34.411716999999996,1.0,9.076525,1.351078,-35.66344799999999,0.999997,9.17551,P
DRW401710161,0.36291599999999996,0.000833,98.033335,0.041535,0.020056,0.321588,0.000745,126.50051100000002,0.041626,0.022645,1.347437,-28.342157,0.999999,9.075655,1.352232,-40.615225,0.999993,9.176916,P
DRW401710171,0.34822,0.000785,92.965826,0.041808,0.0401,0.365494,0.000722,118.367569,0.041986,0.037722000000000006,1.356144,-30.24902,0.9999979999999999,9.076496,1.367416,-37.560046,0.999998,9.177133,P
DRW401710181,0.46572600000000003,0.001086,101.418672,0.041579000000000005,0.050047,0.418969,0.0007570000000000001,102.326335,0.041609,0.027927,1.345084,-32.917938,0.9999600000000001,9.07531,1.358266,-38.121329,0.999993,9.178178,P
DRW401710191,0.44126099999999996,0.0005769999999999999,92.867039,0.042097,0.025182,0.435601,0.000992,87.461173,0.041913,0.039516,1.343858,-37.193417,0.9999889999999999,9.064727,1.355708,-43.469525,0.999933,9.178259,P
DRW401710201,0.475415,0.000991,98.70872299999999,0.041718,0.024852000000000003,0.392682,0.000874,123.822496,0.041751,0.020942,1.358093,-27.773215999999998,1.0,9.074129,1.343494,-43.021343,1.0,9.177633,P
DRW401710211,0.410685,0.000779,97.16722,0.041218,0.031186,0.368109,0.001004,126.09121100000002,0.04149,0.058115,1.343716,-29.564284000000004,0.9999959999999999,9.075812,1.352993,-38.799499,0.999994,9.179034,P
DRW401710221,0.453097,0.0009960000000000001,100.180277,0.041793,0.045322,0.425442,0.0008179999999999999,100.551895,0.041397,0.041767,1.333625,-31.327780999999998,1.0,9.076029,1.359741,-39.313854,0.999979,9.177815,P
DRW401710231,0.46024899999999996,0.001047,94.545672,0.041763,0.025222,0.339423,0.000799,125.980157,0.041371,0.028194,1.344652,-38.105082,0.9999450000000001,9.074078,1.35903,-41.542402,1.0,9.178731,P
DRW401710241,0.443271,0.000985,97.65343,0.041936,0.044231,0.48214,0.000828,105.131647,0.041556,0.043438,1.3462040000000002,-27.769025,0.999994,9.07507,1.365743,-39.089901,0.99999,9.179606,P
DRW401710251,0.56757,0.0012050000000000001,127.64210600000001,0.041853,0.04446,0.426048,0.000755,125.200124,0.041569,0.029227,1.348026,-27.810890999999998,0.999991,9.076462,1.350968,-41.22278,1.0,9.178779,P
DRW401710261,0.348519,0.00084,84.63365,0.041855,0.054491,0.368655,0.0007160000000000001,120.843143,0.041913,0.035458,1.346247,-32.176564,0.999983,9.0744,1.352885,-41.481475,0.999983,9.176285,P
DRW401710271,0.34773699999999996,0.000872,100.01805999999999,0.042143,0.042413,0.340147,0.000813,123.447453,0.041776,0.042534,1.3513879999999998,-36.473521000000005,0.999999,9.076035,1.355347,-41.426219,0.999988,9.177991,P
DRW401710281,0.35436999999999996,0.000651,107.92458400000001,0.041672,0.034806000000000004,0.444316,0.0008300000000000001,99.006415,0.042128,0.04159,1.34808,-32.900831,0.9999950000000001,9.075779,1.361179,-38.201112,0.999977,9.178872,P
DRW401710291,0.361567,0.000799,116.09133999999999,0.041794,0.049706,0.370246,0.001018,114.654814,0.04133,0.029241000000000007,1.343492,-40.855540999999995,0.9999899999999999,9.076184,1.366327,-37.539422,0.999997,9.178117,P
DRW411710311,0.376397,0.0005809999999999999,79.733,0.041758,0.028333,0.369229,0.000826,87.02668,0.041963,0.03079,1.353229,-31.129277000000002,0.9999979999999999,9.075836,1.359106,-37.776421,0.999997,9.178468,P
DRW411710321,0.458233,0.000672,88.524755,0.041723,0.02619,0.400182,0.00073,97.912556,0.041418,0.021149,1.333465,-32.153102000000004,0.9999979999999999,9.076472,1.359049,-42.86852,1.0,9.179487,P
DRW411710331,0.37285799999999997,0.000504,68.762589,0.041681,0.051605999999999985,0.31250300000000003,0.0006230000000000001,94.574514,0.041032,0.031327999999999995,1.34389,-26.34007,1.0,9.075702,1.356093,-41.186331,0.999998,9.177949,P
DRW411710341,0.36034099999999997,0.000991,110.594089,0.041157,0.021426,0.339994,0.000822,84.72923399999998,0.041643,0.024751,1.359518,-32.338605,0.999999,9.075168,1.35481,-41.052855,0.99998,9.179633,P
DRW411710351,0.311435,0.000731,91.04231999999999,0.041471,0.04742,0.346378,0.000759,84.804154,0.041181,0.016257,1.32215,-35.455712,0.9999979999999999,9.07608,1.344203,-39.06955,1.0,9.178966,P
DRW411710361,0.31602199999999997,0.000822,98.062286,0.041351,0.024807,0.355183,0.000584,92.68902,0.041539,0.014324000000000003,1.33744,-28.3905,0.9999950000000001,9.076204,1.351716,-37.696557,0.999997,9.175146,P
DRW411710371,0.362742,0.0009660000000000001,108.969269,0.041513,0.008065000000000001,0.315519,0.000749,78.629085,0.04133,0.024979,1.3347129999999998,-31.258863,0.999985,9.070608,1.33539,-36.922113,0.999999,9.1792,P
DRW411710301,0.330586,0.0008289999999999999,88.695922,0.041799,0.025954,0.393568,0.001022,115.290974,0.041696,0.04686,1.342385,-38.886386,0.9999809999999999,9.07622,1.363703,-39.442593,0.999991,9.177858,P
DRW411710411,0.292161,0.000797,109.90091100000001,0.04165,0.028476,0.317261,0.000849,97.707465,0.041786,0.054558,1.328214,-38.32694,0.9999979999999999,9.075185,1.359139,-40.633796,0.999875,9.174227,P
DRW411710401,0.423026,0.000504,78.512506,0.041189,0.045464,0.424911,0.000878,93.123624,0.041563,0.030255,1.349918,-35.457322999999995,0.999999,9.075508,1.3521379999999998,-36.638801,0.999996,9.175385,P
DRW411710421,0.358184,0.000722,91.042541,0.041559,0.005542,0.357782,0.000705,101.435136,0.041437,0.036115,1.3499940000000001,-38.673659,0.9999959999999999,9.075396,1.351389,-39.786767,1.0,9.174702,P
DRW411710021,0.380333,0.0006349999999999999,74.492114,0.042292,0.032519,0.419714,0.000696,92.148334,0.041774,0.038528,1.353376,-31.992632,0.9999979999999999,9.076203,1.366542,-40.425139,1.0,9.177382,P
DRW411710041,0.341888,0.000708,67.62033100000001,0.041723,0.017629,0.333667,0.000906,113.192653,0.041274,0.048447,1.352193,-34.238281,0.9999979999999999,9.076284,1.353639,-44.114264,1.0,9.179111,P
DRW411710061,0.37950900000000004,0.000735,79.75731,0.042059,0.005343,0.366419,0.000791,96.013691,0.041814,0.033411,1.348791,-31.072828,0.9997940000000001,9.075827,1.363638,-41.181473,0.999998,9.178768,P
DRW411710071,0.382814,0.000755,85.10328299999999,0.04127,0.021739,0.330701,0.0008380000000000001,89.10654699999998,0.042003,0.032748,1.346508,-35.483862,0.99997,9.075949,1.363171,-39.426005,0.999989,9.180302,P
DRW411710081,0.325319,0.00072,89.169201,0.041555,0.048482,0.367901,0.0006900000000000001,104.228957,0.041326,0.024406,1.3365040000000001,-37.334503999999995,0.99998,9.076114,1.360817,-41.025958,0.999995,9.179418,P
DRW411710091,0.371529,0.000787,104.246527,0.041977,0.025899,0.334497,0.000754,109.204307,0.041611,0.028358,1.350434,-32.679825,0.999991,9.076282,1.359507,-39.431298,0.999995,9.17698,P
DRW421710051,0.42684099999999997,0.000586,74.427028,0.041361,0.049026,0.420438,0.000708,65.635384,0.040621,0.038418,1.353372,-30.761503,0.9999809999999999,9.068677,1.351966,-41.063926,0.999994,9.17661,P
DRW471710041,0.436054,0.000278,90.864522,0.012957,0.050097,0.331695,0.000235,91.465984,0.012887,0.031626999999999995,1.345062,-34.108574,0.9999969999999999,9.076306,1.367139,-39.138835,0.999995,9.17975,P
DRW471710031,0.361761,0.000317,63.529881,0.013047,0.058230999999999984,0.308139,0.000288,86.23791700000002,0.012709,0.020035,1.368428,-34.186115,0.9999959999999999,9.076216,1.363234,-41.007897,0.999996,9.177333,P
DRW471710021,0.28181799999999996,0.000229,65.659363,0.012841,0.028268,0.338765,0.000253,100.190553,0.012847,0.051782,1.363793,-31.180344,0.999992,9.075525,1.351369,-37.925435,0.999978,9.178596,P
DRW471710051,0.267813,0.00033,79.500173,0.01305,0.013683,0.381551,0.000304,81.25626899999997,0.012889,0.033467000000000004,1.348571,-33.044488,0.9999879999999999,9.074424,1.342144,-40.891769,0.999995,9.177809,P
DRW471710081,0.42110200000000003,0.00023500000000000002,84.102246,0.013028,0.045597000000000006,0.401135,0.000286,85.622642,0.012822,0.035525,1.3374030000000001,-34.074224,0.9999979999999999,9.075882,1.368997,-40.890656,0.99999,9.178181,P
DRW471710091,0.438688,0.00025699999999999996,69.305595,0.012981,0.048209,0.417729,0.000253,80.943991,0.013018,0.051286,1.341759,-37.360627,0.9999879999999999,9.074637,1.351184,-40.309145,0.999997,9.179074,P
DRW471710101,0.294145,0.00025,94.452298,0.012778,0.038765,0.397032,0.00022,99.589313,0.012855000000000002,0.026373,1.328185,-36.585941,0.9999959999999999,9.07556,1.341809,-43.315789,0.999975,9.170747,P
DRW471710111,0.275518,0.000246,81.624572,0.012644,0.028218,0.299204,0.00028900000000000003,77.221181,0.013064,0.023776,1.34699,-38.397463,1.0,9.074778,1.351692,-42.025772,0.999984,9.174297,P
DRW481710011,0.34242100000000003,0.000293,118.85543500000001,0.01249,0.060655,0.368656,0.000248,87.99755,0.012873,0.032399000000000004,1.348991,-37.039623999999996,0.999922,9.075237,1.358857,-38.956615,0.999985,9.173614,P
DRW481710021,0.360324,0.000241,104.845669,0.012644,0.043982,0.442346,0.00039,75.686751,0.012651,0.06002,1.346771,-38.006747,0.9999870000000001,9.075547,1.348464,-42.002802,0.999999,9.174137,P
DRW481710031,0.326179,0.000296,97.791004,0.012726,0.023058,0.5294409999999999,0.00028,58.24556800000001,0.012913999999999998,0.057569,1.320529,-37.898051,0.9999969999999999,9.075383,1.334977,-42.156048,0.999999,9.174219,P
DRW481710041,0.345977,0.000298,73.37129300000001,0.0127,0.045292,0.433069,0.000314,84.933994,0.012769,0.064215,1.33266,-37.540852,1.0,9.074762,1.334307,-40.396623,1.0,9.178308,P
DRW481710061,0.44929600000000003,0.000325,81.191294,0.012651,0.059588,0.44008,0.000324,116.094765,0.01285,0.056025,1.3279969999999999,-38.565503,0.999958,9.076481,1.3254549999999998,-39.921019,0.999999,9.179083,P
DRW481710081,0.34586,0.000307,69.942087,0.012706,0.061959,0.331615,0.00033,77.810156,0.012345,0.115831,1.3184850000000001,-38.641106,0.9999979999999999,9.075516,1.329741,-42.006562,0.999976,9.175132,P
DRW481710051,0.55337,0.00021899999999999998,93.563311,0.012903,0.065916,0.382034,0.000282,95.107244,0.012893,0.048391,1.335064,-35.379401,0.9999870000000001,9.074521,1.3429870000000002,-38.989244,1.0,9.170229,P
DRW481710071,0.442617,0.00024900000000000004,64.132447,0.012706,0.06612699999999999,0.349672,0.00032,101.078436,0.012711,0.031798,1.336849,-38.524479,0.9999809999999999,9.075065,1.339759,-39.741863,0.999981,9.176161,P
DRW481710111,0.316538,0.00029,84.840731,0.012525,0.025438,0.344299,0.000298,88.66045,0.012706,0.036289,1.325018,-35.307829,0.999999,9.074852,1.31897,-42.225947,0.999999,9.176399,P
DRW481710131,0.42862,0.000285,69.118184,0.013077000000000002,0.018808,0.47093,0.000339,88.966431,0.013094,0.058539,1.319595,-38.468714,0.999999,9.075266,1.3351540000000002,-40.527827,1.0,9.177291,P
DRW481710121,0.36215,0.000278,91.812628,0.012566,0.029733,0.495872,0.000267,114.637687,0.012785,0.052146000000000005,1.3481,-36.999241999999995,0.999999,9.074952,1.372012,-39.62611500000001,0.999989,9.178268,P
DRW411710381,0.284616,0.00028399999999999996,108.046246,0.012883000000000002,0.012721,0.422037,0.000286,66.791124,0.012938,0.098457,1.356334,-25.938761,1.0,9.075665,1.360001,-42.805253,0.999972,9.175723,P
DRW481710141,0.383525,0.000246,78.558585,0.012983,0.049906,0.486691,0.000257,72.25842800000002,0.013019,0.057,1.3446930000000001,-29.320477,0.9999680000000001,9.075319,1.363883,-41.698175,0.999987,9.176592,P
DRW481710161,0.396251,0.000234,74.000602,0.012953,0.052000000000000005,0.310356,0.000281,93.504081,0.013096,0.036117,1.362953,-28.221234999999997,0.999999,9.07497,1.375114,-40.354736,0.999981,9.177806,P
DRW471710061,0.394092,0.00028,91.40355,0.012847999999999998,0.050286,0.465193,0.00024,103.973035,0.013227,0.05708600000000001,1.3324790000000002,-35.585485999999996,0.9999969999999999,9.075601,1.356476,-52.96923100000001,1.0,9.177867,P
DRW411710011,0.352502,0.0009220000000000001,92.14093000000001,0.041008,0.044199,0.342623,0.000709,82.957999,0.040637,0.07357999999999999,1.336034,-33.238258,0.9999790000000001,9.080488,1.34526,-39.44566500000001,0.999991,9.187598,P
DRW481710171,0.326194,0.000795,69.558092,0.041486,0.015426,0.290571,0.000695,93.484965,0.041385000000000005,0.046187,1.369369,-23.235001999999998,1.0,9.074747,1.363366,-42.818966,0.999953,9.176304,P
DRW491710011,0.376862,0.000746,65.971199,0.042167,0.020735,0.267552,0.0008150000000000001,113.705271,0.041614,0.014726,1.369693,-28.987158,0.9999979999999999,9.075762,1.384457,-43.45685,0.999925,9.177268,P
DRW491710021,0.264273,0.0009220000000000001,113.37796499999999,0.040628,0.026075,0.402951,0.000786,64.632801,0.041777,0.052039,1.346968,-41.804045,1.0,9.07679,1.363958,-41.803406,0.999999,9.180201,P
DRW491710031,0.414228,0.000559,60.27361,0.041223,0.018362,0.412847,0.00102,127.493703,0.042528,0.035701,1.374659,-37.002726,0.9999889999999999,9.075601,1.381096,-40.576211,0.999993,9.179684,P
DRW491710041,0.35238200000000003,0.000824,92.687804,0.042213,0.012514,0.437802,0.000705,103.640866,0.042225,0.06128400000000001,1.368852,-31.70713,0.9999899999999999,9.076381,1.3691950000000002,-39.170654,0.999998,9.174492,P
DRW491710051,0.40167800000000004,0.000745,54.982115,0.041564,0.019818,0.348829,0.000951,82.798765,0.0417,0.07449,1.350273,-37.725512,0.999983,9.076631,1.361574,-40.964079,0.999959,9.179292,P
DRW491710061,0.352062,0.000837,56.04039100000001,0.041767,0.038512,0.464153,0.000837,105.266901,0.042378,0.050652,1.311005,-36.857488000000004,0.999972,9.075431,1.331778,-37.203539,0.999954,9.179205,P
DRW491710071,0.532713,0.000916,74.11906,0.041322000000000005,0.026874,0.380597,0.000586,106.088152,0.041024,0.04421,1.3172620000000002,-37.59213,0.999999,9.076223,1.335812,-41.468961,0.99999,9.178621,P
DRW491710081,0.366068,0.000824,67.077435,0.041015,0.0226,0.486119,0.000594,85.674025,0.040654,0.033041,1.322068,-39.392005,1.0,9.075988,1.345067,-45.044879,0.999988,9.176482,P
DRW491710091,0.406933,0.000657,81.386219,0.040415,0.048234,0.391186,0.000681,85.020075,0.040912,0.049048,1.312907,-31.855753000000004,0.9999879999999999,9.075874,1.335625,-45.401357,0.999904,9.177085,P
DRW491710101,0.404927,0.0006360000000000001,131.606032,0.040321,0.04397,0.344936,0.000786,118.397736,0.040757,0.017891,1.313151,-33.501767,0.999985,9.075467,1.337285,-38.132983,0.999977,9.177993,P
DRW481710091,0.297362,0.000659,99.116475,0.040875,0.030778,0.29888200000000004,0.001024,104.17017,0.040323000000000005,0.041617,1.341828,-40.138657,0.9999969999999999,9.076176,1.335616,-46.46655300000001,0.999997,9.179699,P
DRW491710111,0.33481,0.000758,113.94749099999999,0.041412,0.026065,0.3961,0.000524,106.412034,0.041195,0.028997,1.320968,-38.145854,0.9999950000000001,9.075742,1.3349719999999998,-39.458161,0.999983,9.178113,P
DRW491710121,0.343015,0.000576,123.307226,0.041208,0.024781,0.387102,0.000722,96.729854,0.041452,0.021874,1.326719,-33.050369,1.0,9.075082,1.341432,-40.676831,0.999998,9.179281,P
DRW491710131,0.41069399999999995,0.000728,84.076499,0.040334,0.020253,0.4238520000000001,0.000762,100.845278,0.041133,0.040378,1.320211,-37.243010999999996,0.999991,9.076578,1.33641,-39.946603,0.999999,9.179666,P
DRW491710141,0.380384,0.000741,120.959612,0.040179,0.019304,0.366096,0.000463,93.573145,0.040707,0.036978,1.312092,-28.693078000000003,0.9999870000000001,9.076299,1.32695,-41.345781,0.999998,9.17933,P
DRW491710151,0.37854699999999997,0.000642,118.53011699999999,0.041425,0.003735,0.395057,0.0004940000000000001,93.471153,0.040837,0.042486,1.320965,-33.185427000000004,0.9999979999999999,9.075794,1.337607,-40.422671,0.999991,9.176201,P
DRW411710031,0.352668,0.000816,94.67054,0.041661,0.024033,0.308963,0.000729,115.361032,0.041562,0.06552100000000001,1.3555840000000001,-36.577085,0.999992,9.076408,1.364534,-40.694444,0.999995,9.179572,P
DRW481710101,0.430414,0.000816,94.480698,0.040778,0.017399,0.412523,0.000603,107.397821,0.040706,0.043224,1.319836,-37.255479,1.0,9.075248,1.3229540000000002,-38.209907,0.999961,9.176672,P
DRW411710391,0.357094,0.0007639999999999999,89.845253,0.040905,0.043654000000000005,0.352605,0.00045,116.88385900000002,0.041166,0.045523,1.3266850000000001,-34.636888,0.9999899999999999,9.076484,1.359209,-39.938637,0.999999,9.175895,P
DRW471710071,0.398381,0.000874,94.55838100000001,0.040768,0.056139,0.33123400000000003,0.000734,123.072409,0.040886,0.006311,1.344846,-37.026271,0.9999959999999999,9.075725,1.356084,-44.678733,0.99999,9.177651,P
DRW491710171,0.41170100000000004,0.000759,97.234627,0.042346,0.024645,0.36812,0.000406,110.87266499999998,0.041966,0.03831,1.358817,-38.306228999999995,0.9999809999999999,9.07625,1.368313,-40.887079,0.999998,9.175984,P
DRW491710181,0.41523699999999997,0.000475,101.296346,0.042359,0.032560000000000006,0.328953,0.000733,74.16757,0.041779,0.031289,1.363551,-36.828224,0.999999,9.074901,1.370043,-40.515227,0.999981,9.175738,P
DRW491710201,0.3879,0.000592,113.49045500000001,0.042522,0.040539,0.440219,0.000852,60.366321,0.04189,0.03992,1.35477,-37.391107,0.999983,9.075503,1.365766,-42.510338,0.999989,9.176109,P
DRW491710211,0.39205,0.000584,107.70236499999999,0.042492,0.049529,0.400512,0.000741,98.811379,0.042088,0.030955,1.3726049999999999,-39.614996999999995,0.999992,9.075368,1.37275,-40.481368,1.0,9.175873,P
DRW491710221,0.311662,0.0005740000000000001,90.693023,0.041453,0.013114,0.410008,0.000722,82.267361,0.042166,0.059335,1.375791,-30.215883,0.999984,9.07414,1.369604,-43.785701,1.0,9.171815,P
DRW491710231,0.327863,0.000661,95.204264,0.041397,0.019696,0.49743,0.000715,72.207155,0.042569,0.057427,1.35907,-40.361508,0.9999950000000001,9.075514,1.361169,-41.731862,0.999982,9.176402,P
DRW491710241,0.34116799999999997,0.000552,122.707311,0.042165,0.02217,0.363009,0.000519,103.747721,0.042537,0.038903,1.354207,-35.858743,1.0,9.07513,1.363047,-40.912196,0.999971,9.175471,P
DRW491710251,0.386944,0.000646,48.587588000000004,0.041707,0.011508,0.385258,0.000563,106.137215,0.041676,0.037064,1.363575,-40.789426,0.9999870000000001,9.07653,1.37193,-46.755653,0.999995,9.177993,P
DRW491710271,0.398063,0.000571,90.667387,0.041357,0.060187,0.375129,0.000994,70.993402,0.041478,0.013758,1.3582530000000002,-57.836344,0.999999,9.075069,1.358899,-44.552735,0.99997,9.175722,P
DRW491710281,0.37101100000000004,0.000552,87.483052,0.042824,0.023628,0.367733,0.0008210000000000001,81.975747,0.041791,0.029253,1.3530739999999999,-40.216097999999995,0.9999950000000001,9.076138,1.355265,-43.37983300000001,0.999972,9.174703,P
DRW501710121,0.376429,0.00066,76.026985,0.041235,0.047316,0.313065,0.000728,122.192041,0.041672,0.017685,1.356572,-34.812490999999994,0.9999959999999999,9.0767,1.348751,-42.546586,1.0,9.179716,P
DRW501710131,0.372633,0.0007740000000000001,78.473057,0.041767,0.020308,0.33782,0.000773,73.43670999999998,0.041692,0.046947,1.322986,-37.012532,0.99997,9.076441,1.34075,-37.923679,0.999998,9.179501,P
DRW501710141,0.351738,0.000816,68.713858,0.041382,0.02105,0.411891,0.000768,76.68104699999998,0.041025,0.055621,1.352343,-37.806246,0.999999,9.075196,1.347872,-39.292452,0.999954,9.174424,P
DRW471710011,0.41233000000000003,0.000891,75.00683199999999,0.041288,0.087668,0.409309,0.000753,39.152712,0.040957,0.041495,1.342163,-26.690995,0.9999600000000001,9.07565,1.356854,-42.847506,0.999988,9.178148,P
DRW501710021,0.341645,0.000542,108.587043,0.041649,0.019494,0.466782,0.000505,49.256346,0.041592,0.044608,1.346862,-35.933066,1.0,9.075812,1.367443,-42.018301,1.0,9.17399,P
DRW481710151,0.36282600000000004,0.000722,60.621028,0.041012,0.06398,0.400322,0.000729,69.953579,0.041156,0.05458,1.362442,-20.960831,0.999986,9.075734,1.364393,-42.12754,0.99999,9.175708,P
DRW501710041,0.284561,0.000671,68.527109,0.041369,0.017111,0.428335,0.0007740000000000001,79.353868,0.041113,0.06840299999999999,1.3537620000000001,-33.682916999999996,0.9999959999999999,9.07515,1.342808,-43.869432,0.999989,9.178174,P
DRW501710051,0.483321,0.0008470000000000001,53.617305,0.04103,0.029822,0.322519,0.0005690000000000001,110.618068,0.041217,0.026935,1.333317,-35.744565,1.0,9.076078,1.356222,-39.773531,0.999981,9.176889,P
DRW501710061,0.406007,0.000697,69.644616,0.041207,0.058351,0.4769560000000001,0.001002,107.948231,0.041166,0.029032,1.331617,-38.256231,0.9999870000000001,9.076319,1.349415,-40.614302,1.0,9.174929,P
DRW501710071,0.38061300000000003,0.0007030000000000001,66.911682,0.042022,0.014221,0.326328,0.000615,102.610657,0.04158,0.058479,1.34546,-35.545171999999994,0.9999979999999999,9.075896,1.351633,-40.29166,0.999999,9.177364,P
